id; Название курса; Рейтинг; Описание; Организатор; Преподаватели
149;   Многопоточное программирование на С/С++ — Stepik; 4.5; В курсе принцип многопоточного программирования рассматривается в контексте разработки сетевых и высоконагруженных систем. Ядром курса является обучение межпроцессному взаимодействию (IPC) и синхронизации потоков. Пройдя курс, вы сможете разработать собственный веб-сервер, который позволит отработать полученные навыки. ; Mail.Ru Group; Дмитрий Калугин-Балашов 
150;   Hadoop. Система для обработки больших объемов данных — Stepik; 4.9; Курс посвящен методам обработки больших объемов данных (BigData) с помощью системы Hadoop. После прохождения курса вы получите знания основных способов хранения и методов обработки больших объемов данных, поймете принципы работы распределенных систем в контексте фреймворка Hadoop и освоите практические навыки разработки приложений, используя программную модель MapReduce.; Mail.Ru Group; Евгений Чернов 
154;   Web-технологии — Stepik; 4.7; Курс посвящен разработке серверной части web-приложений, их архитектуре и протоколу HTTP. По итогам курса вы научитесь: разрабатывать приложения на языке python, использовать MVC фреймворки, изучите верстку HTML страниц, погрузитесь в тематику web разработки и сможете выбирать конкретные технологии.; Mail.Ru Group; Дмитрий Смаль, Динар Сабитов 
156;   Алгоритмы и структуры данных — Stepik; 3; Курс представляет собой изучение основных алгоритмов и структур данных, необходимых программистам для качественного решения ежедневных задач. По окончанию курса у вас появится личный опыт реализации основных алгоритмов и представление о том, как оценивать эффективность по времени работы и по количеству используемой дополнительной памяти.; Mail.Ru Group; Степан Мацкевич 
161;   Anton Lantsov's New Course — Stepik; None; None; Anton Lantsov; None 
186;   Разработка веб сервиса на Java (часть 2) — Stepik; 4.9; Изучение Java, на примере написания веб сервера. Вторая часть курса: углубленное изучение возможностей языка на примере доработки веб-сервера до промышленного уровня. Пройдя курс вы получите: глубокое понимание затронутых в курсе тем ООП и проектирования, что позволит вам сформировать набор приложений (библиотек), который вы сможете использовать в промышленной разработке.; Mail.Ru Group; Виталий Чибриков 
187;   Java. Базовый курс — Stepik; 4.8; Этот вводный курс познакомит слушателей с базовыми возможностями языка программирования Java.; Computer Science Center (CS центр); Алексей Владыкин, http://alexey.vladykin.name/ 
191;   Безопасность в интернете — Stepik; 4.7; Мошенники в интернете охотятся за нашими данными и деньгами. Здесь мы собрали информацию о видах мошенничества и о том, как им противостоять. В случае успешного прохождения курса, через некоторое время (примерно сутки) на электронную почту будет выслан сертификат.; Академия Яндекса; Наталья Куканова, Надежда Кияткина, Александра Несанова 
208;   Биржевые опционы: базовый курс — Stepik; None; None; None; None 
217;   Алгоритмы: теория и практика. Методы — Stepik; 4.9; В курсе будут разобраны основные алгоритмические методы: жадные алгоритмы, «разделяй и властвуй», динамическое программирование. Помимо теоретических основ, будут рассмотрены тонкости реализации рассмотренных алгоритмов на языках C++, Java и Python. Слушателям будет предложено реализовать большинство разобранных в курсе алгоритмов. Решения будут проверяться тестирующей системой на тщательно подобранных тестах.; Computer Science Center (CS центр); Александр Куликов, http://logic.pdmi.ras.ru/~kulikov/, Сергей Лебедев, Алексей Левин, Павел Маврин 
238;   Introduction to Python — Stepik; 4.1; Introduction course to Python.; None; JetBrains, https://www.jetbrains.com/ 
253;   Введение в архитектуру ЭВМ. Элементы операционных систем. — Stepik; 4.6; Данный обзорный курс позволяет понять основы функционирования компьютерной техники. В рамках изучения курса слушатель поймет, как выполняются программы на современных компьютерах с самых азов, начиная от простейших логических схем и микропроцессоров и заканчивая современными многопроцессорными и распределенными системами.; Computer Science Center (CS центр); Кирилл Кринкин, OSLL 
326;   Математическая статистика — Stepik; 5; Курс знакомит слушателей с основными разделами математической статистики: описательной статистикой, интервальным оцениванием, проверкой статистических гипотез, регрессионым анализом и корреляционным анализом.; Computer Science Center (CS центр); Лидия Грауэр 
363;   Введение в программирование (C++) — Stepik; 4.9; Основы программирования на C++ на примере множества несложных практических задач.; Академия Яндекса; Михаил Густокашин 
382;   Category theory for beginners — Stepik; None; Explains the basic concepts of Category Theory.; Alexey 👨🏼‍🌾 Pogibelev; None 
384;   Игрофикация — Stepik; 5; Эта версия курса была признана экспертным жюри EdCrunch (крупнейшая в Европе конференция по образованию) лучшим онлайн-курсом в России в категории гуманитарных наук в 2016 году. Сейчас у нас идёт кампания по написанию книги по игрофикации, актуализации и улучшению курса: https://boomstarter.ru/projects/Nefedev/igrofikatsiya_prevrati_rutinu_v_igru_poshagovoe_rukovodstvo Присоединяйтесь! Там вас ждёт увлекательная игра и ценные награды. В том числе, приняв участие в кампании, вы можете получить доступ к курсу прямо сейчас!; None; Miroslava Bronnikova, Иван Нефедьев 
387;   ЗФТШ: Вечерняя Физико-Техническая Школа — Stepik; None; Этот курс рассчитан на выполнение домашних заданий по физике учащимися ВФТШ МФТИ; Daniil Merkulov; None 
388;   Deep Learning — Stepik; None; Курс посвящен базовым понятиям теории категорий.; Anastasia Lavrenko; None 
397;   course — Stepik; None; Курс посвящен базовым понятиям теории категорий.; Mikhail Mehanig; None 
399;   Lena Volzhina и теория категорий — Stepik; None; Курс посвящен базовым понятиям теории категорий.; Lena Volzhina; None 
401;   Нейронные сети — Stepik; 4.5; В рамках данного курса слушатели познакомятся с теоретическими и практическими основами искусственных нейронных сетей. Слушатели научатся применять нейронные сети для решения широкого круга задач из области анализа данных.; Bioinformatics Institute; Arseny Moskvichev, Анастасия Миллер 
402;   Student1 bk и теория категорий — Stepik; None; Курс посвящен базовым понятиям теории категорий.; Student1 bk; None 
415;   CEE SECR Contest 2015 — Stepik; None; Contest; Mikhail Mehanig; None 
419;   Компьютерная графика: основы — Stepik; 5; Обзорный курс для студентов младших курсов инженерного направления обучения. Начинается с физических основ и далее рассматривает форматы и основные алгоритмы сжатия компьютерной графики.; None; Денис Королев, Anastasia Gorokhova-Alekseeva, Алиса Кольбе 
422;   Algorithmic Toolbox 1 — Stepik; None; None; Nikolay Vyahhi; None 
431;   Адаптивный тренажер Python — Stepik; 4.4; Курс представляет собой набор задач на языке Python. Сложность задач варьируется от начальной до высокой. Курс проходится в специальном адаптивном режиме!; None; Тимофей Бондарев 
432;   Введение в физику. Тепловые и электромагнитные явления — Stepik; 5; Курс был задуман как подготовка учеников 9-го класса к экзамену ОГЭ по физике, но будет интересен и более широкой аудитории, желающей освежить знания по школьной физике. Курс содержит уроки по тепловым и электромагнитным явлениям.  ; ГФМЛ №30; Виталий Олегович Шурухин, Александр Рамазанов, Андрей Суслов 
435;   Серебряный век русской поэзии — Stepik; 4.2; None; Любовь Масленникова; None 
444;   Петр Нулевой и теория категорий — Stepik; None; Курс посвящен базовым понятиям теории категорий.; None; Петр Нулевой 
445;   Петр Нулевой и теория категорий — Stepik; None; Курс посвящен базовым понятиям теории категорий.; None; Петр Нулевой 
449;   Петр Нулевой и теория категорий — Stepik; None; Курс посвящен базовым понятиям теории категорий.; None; Петр Нулевой 
450;   Петр Нулевой и теория категорий — Stepik; None; Курс посвящен базовым понятиям теории категорий.; None; Петр Нулевой 
451;   Петр Нулевой и теория категорий — Stepik; None; Курс посвящен базовым понятиям теории категорий.; None; Петр Нулевой 
452;   Grigory Sapunov и теория категорий — Stepik; None; Курс посвящен базовым понятиям теории категорий.; None; Grigory Sapunov 
457;   Самолетостроение — Stepik; 4.8; Этот вводный курс посвящен основным вопросам самолетостроения. Курс идеально подойдет всем, кто интересуется авиацией и планирует начать свою карьеру в этой области. Материалы курса подготовлены на базе программы Самарского национального исследовательского университета имени академика С.П. Королева.; Самарский университет; Сергей Викторович Мрыкин 
458;   Как работает реактивный двигатель — Stepik; 4.8; Этот вводный курс расскажет вам о принципах работы реактивного двигателя и познакомит вас с основами проектирования этих устройств.Материалы курса подготовлены на базе программы Самарского национального исследовательского университета имени академика С.П. Королева.; Самарский университет; Виктор Рыбаков, Владимир Зрелов 
459;   Инновационное предпринимательство — Stepik; 3.9; Этот вводный курс познакомит вас с основами инновационного предпринимательства и научит разбираться в базовых вопросах данной сферы деятельности. Материалы курса подготовлены на базе программы  Самарского национального исследовательского университета имени академика С.П. Королева.; Самарский университет; Михаил Цапенко 
462;   Первый шаг в робототехнику (демо-курс) — Stepik; 5; Не можешь победить – возглавь. Курс о том, как возглавить роботов.Первое знакомство с роботототехникой и математической теорией управления.; None; Ilya Shirokolobov 
489;   тестовый курс — Stepik; None; тестируем создание курса; None; Anton Lantsov, stepik.org 
497;   Основы программирования на R — Stepik; 4.9; Курс познакомит слушателей с языком R, основными структурами данных и семантическими правилами. Мы также рассмотрим несколько углублённых тем, которые помогут овладеть принципами написания эффективного кода.; Bioinformatics Institute; Антон Антонов 
502;   Russia's Gas Strategy — Stepik; 4; The course gives an idea about how gas markets work and explains Russia's gas strategies within economic and geopolitic contexts.; European University at St Petersburg; Irina Mironova 
512;   Python: основы и применение — Stepik; 4.8; Курс посвящен базовым принципам языка Python и программирования в целом. Он хорошо подойдет тем, кто уже может писать простейшие программы на Python или тем, кто до этого программировал на других языках.; Bioinformatics Institute; Константин Зайцев, Антон Гардер 
518;   Stepic Contest — Stepik; None; Курс представляет собой набор задач из разных курсов и уроков на Stepic.org. Есть возможность проверить свои знания  в разных областях, а ещё сравнить свой результат с другими слушателями.; Natalia Feofanova; None 
523;   123 — Stepik; None; 42423; None; Петр Нулевой 
524;   Основы статистики. Часть 2 — Stepik; 4.9; Курс продолжает знакомить слушателей с основными понятиями и методами статистики. Курс затронет такие темы, как анализ номинативных данных, непараметрические критерии и методы понижения размерности. ; Bioinformatics Institute; Anatoliy Karpov, Иван Иванчей, Polina Drozdova 
525;   sdsdsds — Stepik; None; s; None; Петр Нулевой 
548;   Основы программирования для Linux — Stepik; 4.8; Курс нацелен на изучение основ программирования в операционной сиcтеме Linux. Он затрагивает базовый инструментарий и все основные компоненты: управление процессами, межпроцессные взаимодействия, сетевые возможности.; Computer Science Center (CS центр); Кирилл Кринкин, OSLL, Mark Zaslavskiy 
549;   Введение в молекулярную биологию и биомедицину — Stepik; 4.8; Как, в общих чертах, устроен “мир живого” на базовом, молекулярном уровне? Какие объекты и механизмы играют ключевую роль в функционировании живых организмов? Что такое генетический код? Как хранится, используется и изменяется генетическая информация? Какие процессы в живых системах мы уже досточно хорошо изучили, чтобы влиять на них - и как эти знания и умения позволяют развивать самые современные биотехнологии, в т.ч. медицинские? Эти темы в очень простом и ёмком изложении затронуты в данном курсе.; МФТИ Физтех; Пётр Власов 
550;   Deciphering Molecular Evolution — Stepik; None; We will see how evolutionary trees resolve quandaries from finding the origin of a deadly virus to locating the birthplace of modern humans. We will then use computational proteomics to see whether we can reconstruct ancient T. rex proteins.; None; Phillip Compeau 
551;   Введение в базы данных — Stepik; 4.4; Знакомство с методами структурированного хранения данных, основами SQL, принципами использования баз данных в приложениях, обзор нереляционных способов хранения данных; Высшая школа экономики (НИУ ВШЭ); Александр Мяснов, Иван Савин 
552;   Comparing Genes, Proteins, and Genomes (Bioinformatics III) — Stepik; None; Learn about the algorithms used to compare short biological sequences as well as entire genomes, and learn whether the human genome has any fragile regions.; None; Phillip Compeau 
566;   Тренажёр ЕГЭ 2016 / Математика. Базовый уровень — Stepik; None; Бесплатный тренажер по задачам ЕГЭ 2016. Математика (базовый уровень).; Мария Лазарева; None 
567;   Диаграммная техника Фейнмана и другие диаграммные методы — Stepik; 5; Курс предназначен для физиков-теоретиков, изучающих диаграммную технику Фейнмана и другие диаграммные методы квантовой теории поля и приложений статистической физики. Последовательное изложение квантовополевой диаграммной техники выходит за рамки данного курса. Цель его - проконтролировать усвоение практических умений, таких, например, как быстрая и безошибочная работа  с диаграммами и вычисление симметрийных коэффициентов.Теоретическое изложение диаграммной техники можно найти в многочисленных учебниках. Мы приводим список наиболее популярных книг. Курс может использоваться для контроля понимания и отработки технических навыков при работе с этими учебниками, а также параллельно изучению лекционного курса по квантовой теории поля и функциональным интегралам.; Марина Комарова; None 
568;   Adaptive Python — Stepik; 4; Adaptive problem set to learn Python. Join the course and you can try out the first prototype of the adaptive engine! ; JetBrains; None 
576;   Курс от Copterexpress — Stepik; None; Беспилотные летательные системы; Алексей Шлыков; None 
578;   Научное мышление — Stepik; 5; Этот курс — о научном, рациональном мышлении в самом широком смысле. Вы научитесь строить логические умозаключения, вести дискуссии, разоблачать лженауку и псевдологические манипуляции. Мы поговорим о том, как проводить исследования — не только в "большой" науке, но и в повседневных вопросах и типичных рабочих задачах. Также мы обсудим нашу цивилизацию, построенную на технологиях и разуме, и вы узнаете, как идеи рациональности трансформировали мир и трансформировались сами под его влиянием.; None; Yuri Okulovsky 
579;   Data Structures — Stepik; 4.8; Data Structures - Niema Moshiri and Liz Izhikevich - 2016; None; Niema Moshiri, Liz Izhikevich 
580;   DCCP2016s — Stepik; None; DCCP2016s Python programming practice; None; Sanghyuk Choi 
584;   Правописание приставок в русском языке — Stepik; None; Курс позволяет обобщить и систематизировать сведения о группах приставок в русском языке и особенностях  их правописания с целью подготовки к выполнению задания по данной теме в формате ОГЭ.; None; Мария Кокурина 
589;   Курс Щелкановой Лилии — Stepik; None; Ботаника - легко и интересно.; Лилия Щелканова; None 
592;   Курс "Алфавит" — Stepik; None; Цель курса "Алфавит" состоит в том, чтобы познакомить учащихся с буквами русского алфавита и заложить основы формирования функционально грамотной личности, обеспечить языковое и речевое развитие ребенка, помочь ему осознать себя носителем языка.; Людмила Бибик; None 
599;   Курс "Народные промыслы России" — Stepik; None; Цель курса создание условий для патриотического воспитания подрастающего поколения в системе художественно-творческой деятельности. ; Юлия Сарычева; None 
624;   Курс Андреева Елена — Stepik; None; Курс о правилах русского языка; None; Елена Андреева 
628;   Моя Африка — Stepik; None; None; None; None 
631;   Курс Антонова Алла — Stepik; None; Этот курс поможет закрепить и проверить знания по данной теме. Мы будем формировать умения отличать предлоги от других частей речи, знания о правописании предлогов с другими частями речи.; None; Алла Валентиновна 
634;   Курс Школьная физика : Насыщенные и ненасыщенные пары — Stepik; None; Данный курс  предоставляет возможность учащимся старших классов познакомиться с основными свойствами реальных газов. Решение предложенных в курсе задач разного уровня будет полезно при подготовке к итоговой аттестации.; None; Татьяна Катина 
641;   ДЕЙСТВИЯ С ПОЛОЖИТЕЛЬНЫМИ И ОТРИЦАТЕЛЬНЫМИ ЧИСЛАМИ — Stepik; None; None; Ирига Бузинова; Ольга Лазарева 
649;   Основные правила создания тестов — Stepik; 1; В рамках короткого курса вы узнаете о теоретических и практических аспектах подготовки тестовых  заданий; None; Natalia Feofanova, Вероника Михайловна Воробьева 
