id; Название курса; Рейтинг; Описание; Организатор; Преподаватели
769;   C++ — Stepik; None; Курс изучения языка программирования C++; None; Anonymous 2656921 
775;   Ruby для начинающих — Stepik; None; Курс для тех, кто интересуется основами языка Ruby; None; Julian Kulesh 
778;   23 — Stepik; None; 23; None; Alexey Likhobabin 
779;   23 — Stepik; None; 23; None; Alexey Likhobabin 
798;   Pythontest — Stepik; None; Test af stepic.; None; Ronni Jensen 
801;   тестовый курс — Stepik; None; шитье; None; Наталья Стратилат 
802;   витамины — Stepik; None; история открытия, классификация, значения, авитаминозы; None; Елена Егорова 
803;   Творчество М Булгакова — Stepik; 1; Вы познакомитесь с биографией писателя и его творчеством; None; Елена Демина 
804;   Кулинария — Stepik; None; На данном курсе Вы научитесь правильно готовить, узнаете как хранить продукты , чтобы они не принесли вред здоровью и узнаете правила безопасности и гигиены при приготовлении пищи.; None; Ольга Алексюк 
805;   English for printers — Stepik; None; Английский язык для печатников; None; Владлена Щеглова 
806;   статистика — Stepik; None; основы и 1ые шаги в анализе данных; None; Valery Askerka 
807;   аааа — Stepik; None; бббб; None; Регина Дробова 
809;   Параллелограммы — Stepik; None; Знакомство с признаками и свойствами параллелограммов; None; Регина Дробова 
811;   Здравствуй мир! — Stepik; None; Знакомство с окружающим миром.; None; Людмила Выставкина 
812;   Курс о шитье — Stepik; None; В этом курсе Вы познакомитесь с материалами и инструментами для шитья.; None; Светлана Шестакова 
813;   Курс вышивки крестиком  — Stepik; None; На этом курсе вас обучат вышивать крестиком. ; None; Севинч Шихвердиева 
814;   Кулинария — Stepik; None; Вы узнаете как правильно питаться, чтобы быть бодрым, работоспособным и сохранять стройную фигуру, как определять качество продуктов, готовить новые блюда.; None; Ольга Алексюк 
816;   Сложноподчинённое предложение. — Stepik; None; В этом курсе вы получите основные знания о роли сложноподчинённых предложений в языке, их отличии от других видов сложного предложения, научитесь определять виды сложноподчинённых предложении и грамотно расставлять знаки препинания в предложениях данного вида.; None; Ольга Сычева 
817;   Как помочь зимой птицам? — Stepik; None; Курс для учащихся 1 классов; None; Svetlana Kazankova 
818;   Учение с увлечением — Stepik; None; Познакомить детей с основами учения с увлечением, подвести к мысли, что недостаточно просто учиться, необходимо учиться с увлечением; None; Александра Ахмедова 
819;   Простое настоящее время английских глаголов — Stepik; 2; После прохождения курса вы научитесь использовать изученную форму глагола в утвердительных и отрицательных фразах, задавать общие и специальные вопросы.; None; марина кравчук 
820;   ГИА 9 — Stepik; None; Типовые тестовые задания ГИА 9 ; None; Ольга Волошенко 
821;   Курс: Что такое химия? — Stepik; 4; В этом курсе вы получите основные знания о химии.; None; Катя Дрожбина 
822;   Курс  бисероплетения. Плетение и вышивка бисером. — Stepik; 5; Курс «Бисероплетение» позволит вам развить творческие навыки и научиться создавать настоящие произведения искусства. Обучение будет интересно для начинающих и тех, кто хотел бы систематизировать уже имеющиеся знания, освоить новые техники плетения бисером или приобрести дополнительные навыки.Цель программы:Формирование художественной культуры школьников как части культуры духовной, приобщение детей общечеловеческим и национальным ценностям через их собственное творчество и освоение художественного опыта прошлого.Задачи программы:Развитие творческих возможностей учащихся.    Изготовление поделок из бисера.    Воспитание трудолюбия, самостоятельности, эстетического вкуса, чувства прекрасного, гордости за свой выполненный труд.    Правильное использование цветовой гаммы.; None; Наталья Николаевна 
823;   Графы. — Stepik; None; Теория решения задач с помощью графов. ; None; Галина Удалова 
824;   Подготовка к ЕГЭ по английскому языку — Stepik; None; В данном курсе будет рассмотрена структура экзамена,  задания по разделам экзамена, вспомогательные материалы для подготовки к итоговой аттестации.; None; Анна Иванова 
825;   Нравственное основы воспитания ребенка в семье — Stepik; 2; Организация работы по нравственному воспитанию с семьей.; None; Игорь Миронов 
826;   Тестовый курс. Курс о шитье - 1. — Stepik; None; В этом курсе Вы познакомитесь с искусством шитья.; None; Светлана Шестакова 
827;   Компьютерная грамотность — Stepik; 1.7; предназначен для знакомства с цифровым миром и обучения основным понятиям и навыкам работы с компьютером. ; None; Анна Высоцкая 
828;   Present Simple — Stepik; None; Present Simple: affirmative, negative, interrogative sentences.; None; Юлия Сальникова 
829;   Курс: Что такое природоведение? — Stepik; None; В этом курсе вы получите основные знания о природоведении.; None; Юля Миронова 
